"X","family","T1","dT2.1","dT2.2","dT3.1","dT3.2","dT3.3","dT3.4","Colony_size","predicted.celltype"
"AD73-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"Erythrocytes"
"AD74-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"CD34+"
"AD75-III-F10","III_F10",51,15,16,12.5,12.5,13.5,14.5,8,"Erythrocytes"
"AD77-III-H12","III_H12",45,16,16,14,16,19,19,8,"Erythrocytes"
"AD78-III-H12","III_H12",45,16,16,14,16,19,19,8,"Erythrocytes"
"AD79-III-H12","III_H12",45,16,16,14,16,19,19,8,"Megakaryocyte"
"AD8-I-E12","I_E12",49,16,16,16,17,21,21,8,"CD34+"
"AD82-III-H12","III_H12",45,16,16,14,16,19,19,8,"Erythrocytes"
"AD83-III-H12","III_H12",45,16,16,14,16,19,19,8,"CD34+_CD38+"
"AD86-III-H6","III_H6",52,21,23,NA,NA,NA,NA,4,"CD34+_CD38+"
"AD87-III-H6","III_H6",52,21,23,NA,NA,NA,NA,4,"CD34+_CD38+"
"AD88-III-H6","III_H6",52,21,23,NA,NA,NA,NA,4,"Erythrocytes"
